dt,customer_id,item_id,click_time
2025-07-02,2,3,2025-07-02 12:34:56
2025-07-03,3,5,2025-07-03 12:34:56
2025-07-04,4,7,2025-07-04 12:34:56
2025-07-05,5,9,2025-07-05 12:34:56
2025-07-06,6,11,2025-07-06 12:34:56
2025-07-07,7,13,2025-07-07 12:34:56
2025-07-08,8,15,2025-07-08 12:34:56
2025-07-09,9,17,2025-07-09 12:34:56
2025-07-10,10,19,2025-07-10 12:34:56
2025-07-11,11,21,2025-07-11 12:34:56
2025-07-12,12,23,2025-07-12 12:34:56
2025-07-13,13,25,2025-07-13 12:34:56
2025-07-14,14,27,2025-07-14 12:34:56
2025-07-15,15,29,2025-07-15 12:34:56
2025-07-16,16,31,2025-07-16 12:34:56
2025-07-17,17,33,2025-07-17 12:34:56
2025-07-18,18,35,2025-07-18 12:34:56
2025-07-19,19,37,2025-07-19 12:34:56
2025-07-20,20,39,2025-07-20 12:34:56
2025-07-21,21,41,2025-07-21 12:34:56
2025-07-22,22,43,2025-07-22 12:34:56
2025-07-23,23,45,2025-07-23 12:34:56
2025-07-24,24,47,2025-07-24 12:34:56
2025-07-25,25,49,2025-07-25 12:34:56
2025-07-26,26,51,2025-07-26 12:34:56
2025-07-27,27,53,2025-07-27 12:34:56
2025-07-28,28,55,2025-07-28 12:34:56
2025-07-29,29,57,2025-07-29 12:34:56
2025-07-30,30,59,2025-07-30 12:34:56
2025-07-01,31,61,2025-07-01 12:34:56
2025-07-02,32,63,2025-07-02 12:34:56
2025-07-03,33,65,2025-07-03 12:34:56
2025-07-04,34,67,2025-07-04 12:34:56
2025-07-05,35,69,2025-07-05 12:34:56
2025-07-06,36,71,2025-07-06 12:34:56
2025-07-07,37,73,2025-07-07 12:34:56
2025-07-08,38,75,2025-07-08 12:34:56
2025-07-09,39,77,2025-07-09 12:34:56
2025-07-10,40,79,2025-07-10 12:34:56
2025-07-11,41,81,2025-07-11 12:34:56
2025-07-12,42,83,2025-07-12 12:34:56
2025-07-13,43,85,2025-07-13 12:34:56
2025-07-14,44,87,2025-07-14 12:34:56
2025-07-15,45,89,2025-07-15 12:34:56
2025-07-16,46,91,2025-07-16 12:34:56
2025-07-17,47,93,2025-07-17 12:34:56
2025-07-18,48,95,2025-07-18 12:34:56
2025-07-19,49,97,2025-07-19 12:34:56
2025-07-20,50,99,2025-07-20 12:34:56
2025-07-21,51,101,2025-07-21 12:34:56
2025-07-22,52,103,2025-07-22 12:34:56
2025-07-23,53,105,2025-07-23 12:34:56
2025-07-24,54,107,2025-07-24 12:34:56
2025-07-25,55,109,2025-07-25 12:34:56
2025-07-26,56,111,2025-07-26 12:34:56
2025-07-27,57,113,2025-07-27 12:34:56
2025-07-28,58,115,2025-07-28 12:34:56
2025-07-29,59,117,2025-07-29 12:34:56
2025-07-30,60,119,2025-07-30 12:34:56
2025-07-01,61,121,2025-07-01 12:34:56
2025-07-02,62,123,2025-07-02 12:34:56
2025-07-03,63,125,2025-07-03 12:34:56
2025-07-04,64,127,2025-07-04 12:34:56
2025-07-05,65,129,2025-07-05 12:34:56
2025-07-06,66,131,2025-07-06 12:34:56
2025-07-07,67,133,2025-07-07 12:34:56
2025-07-08,68,135,2025-07-08 12:34:56
2025-07-09,69,137,2025-07-09 12:34:56
2025-07-10,70,139,2025-07-10 12:34:56
2025-07-11,71,141,2025-07-11 12:34:56
2025-07-12,72,143,2025-07-12 12:34:56
2025-07-13,73,145,2025-07-13 12:34:56
2025-07-14,74,147,2025-07-14 12:34:56
2025-07-15,75,149,2025-07-15 12:34:56
2025-07-16,76,151,2025-07-16 12:34:56
2025-07-17,77,153,2025-07-17 12:34:56
2025-07-18,78,155,2025-07-18 12:34:56
2025-07-19,79,157,2025-07-19 12:34:56
2025-07-20,80,159,2025-07-20 12:34:56
2025-07-21,81,161,2025-07-21 12:34:56
2025-07-22,82,163,2025-07-22 12:34:56
2025-07-23,83,165,2025-07-23 12:34:56
2025-07-24,84,167,2025-07-24 12:34:56
2025-07-25,85,169,2025-07-25 12:34:56
2025-07-26,86,171,2025-07-26 12:34:56
2025-07-27,87,173,2025-07-27 12:34:56
2025-07-28,88,175,2025-07-28 12:34:56
2025-07-29,89,177,2025-07-29 12:34:56
2025-07-30,90,179,2025-07-30 12:34:56
2025-07-01,91,181,2025-07-01 12:34:56
2025-07-02,92,183,2025-07-02 12:34:56
2025-07-03,93,185,2025-07-03 12:34:56
2025-07-04,94,187,2025-07-04 12:34:56
2025-07-05,95,189,2025-07-05 12:34:56
2025-07-06,96,191,2025-07-06 12:34:56
2025-07-07,97,193,2025-07-07 12:34:56
2025-07-08,98,195,2025-07-08 12:34:56
2025-07-09,99,197,2025-07-09 12:34:56
2025-07-10,100,199,2025-07-10 12:34:56
2025-07-11,101,201,2025-07-11 12:34:56
2025-07-12,102,203,2025-07-12 12:34:56
2025-07-13,103,205,2025-07-13 12:34:56
2025-07-14,104,207,2025-07-14 12:34:56
2025-07-15,105,209,2025-07-15 12:34:56
2025-07-16,106,211,2025-07-16 12:34:56
2025-07-17,107,213,2025-07-17 12:34:56
2025-07-18,108,215,2025-07-18 12:34:56
2025-07-19,109,217,2025-07-19 12:34:56
2025-07-20,110,219,2025-07-20 12:34:56
2025-07-21,111,221,2025-07-21 12:34:56
2025-07-22,112,223,2025-07-22 12:34:56
2025-07-23,113,225,2025-07-23 12:34:56
2025-07-24,114,227,2025-07-24 12:34:56
2025-07-25,115,229,2025-07-25 12:34:56
2025-07-26,116,231,2025-07-26 12:34:56
2025-07-27,117,233,2025-07-27 12:34:56
2025-07-28,118,235,2025-07-28 12:34:56
2025-07-29,119,237,2025-07-29 12:34:56
2025-07-30,120,239,2025-07-30 12:34:56
2025-07-01,121,241,2025-07-01 12:34:56
2025-07-02,122,243,2025-07-02 12:34:56
2025-07-03,123,245,2025-07-03 12:34:56
2025-07-04,124,247,2025-07-04 12:34:56
2025-07-05,125,249,2025-07-05 12:34:56
2025-07-06,126,251,2025-07-06 12:34:56
2025-07-07,127,253,2025-07-07 12:34:56
2025-07-08,128,255,2025-07-08 12:34:56
2025-07-09,129,257,2025-07-09 12:34:56
2025-07-10,130,259,2025-07-10 12:34:56
2025-07-11,131,261,2025-07-11 12:34:56
2025-07-12,132,263,2025-07-12 12:34:56
2025-07-13,133,265,2025-07-13 12:34:56
2025-07-14,134,267,2025-07-14 12:34:56
2025-07-15,135,269,2025-07-15 12:34:56
2025-07-16,136,271,2025-07-16 12:34:56
2025-07-17,137,273,2025-07-17 12:34:56
2025-07-18,138,275,2025-07-18 12:34:56
2025-07-19,139,277,2025-07-19 12:34:56
2025-07-20,140,279,2025-07-20 12:34:56
2025-07-21,141,281,2025-07-21 12:34:56
2025-07-22,142,283,2025-07-22 12:34:56
2025-07-23,143,285,2025-07-23 12:34:56
2025-07-24,144,287,2025-07-24 12:34:56
2025-07-25,145,289,2025-07-25 12:34:56
2025-07-26,146,291,2025-07-26 12:34:56
2025-07-27,147,293,2025-07-27 12:34:56
2025-07-28,148,295,2025-07-28 12:34:56
2025-07-29,149,297,2025-07-29 12:34:56
2025-07-30,150,299,2025-07-30 12:34:56
2025-07-01,151,1,2025-07-01 12:34:56
2025-07-02,152,3,2025-07-02 12:34:56
2025-07-03,153,5,2025-07-03 12:34:56
2025-07-04,154,7,2025-07-04 12:34:56
2025-07-05,155,9,2025-07-05 12:34:56
2025-07-06,156,11,2025-07-06 12:34:56
2025-07-07,157,13,2025-07-07 12:34:56
2025-07-08,158,15,2025-07-08 12:34:56
2025-07-09,159,17,2025-07-09 12:34:56
2025-07-10,160,19,2025-07-10 12:34:56
2025-07-11,161,21,2025-07-11 12:34:56
2025-07-12,162,23,2025-07-12 12:34:56
2025-07-13,163,25,2025-07-13 12:34:56
2025-07-14,164,27,2025-07-14 12:34:56
2025-07-15,165,29,2025-07-15 12:34:56
2025-07-16,166,31,2025-07-16 12:34:56
2025-07-17,167,33,2025-07-17 12:34:56
2025-07-18,168,35,2025-07-18 12:34:56
2025-07-19,169,37,2025-07-19 12:34:56
2025-07-20,170,39,2025-07-20 12:34:56
2025-07-21,171,41,2025-07-21 12:34:56
2025-07-22,172,43,2025-07-22 12:34:56
2025-07-23,173,45,2025-07-23 12:34:56
2025-07-24,174,47,2025-07-24 12:34:56
2025-07-25,175,49,2025-07-25 12:34:56
2025-07-26,176,51,2025-07-26 12:34:56
2025-07-27,177,53,2025-07-27 12:34:56
2025-07-28,178,55,2025-07-28 12:34:56
2025-07-29,179,57,2025-07-29 12:34:56
2025-07-30,180,59,2025-07-30 12:34:56
2025-07-01,181,61,2025-07-01 12:34:56
2025-07-02,182,63,2025-07-02 12:34:56
2025-07-03,183,65,2025-07-03 12:34:56
2025-07-04,184,67,2025-07-04 12:34:56
2025-07-05,185,69,2025-07-05 12:34:56
2025-07-06,186,71,2025-07-06 12:34:56
2025-07-07,187,73,2025-07-07 12:34:56
2025-07-08,188,75,2025-07-08 12:34:56
2025-07-09,189,77,2025-07-09 12:34:56
2025-07-10,190,79,2025-07-10 12:34:56
2025-07-11,191,81,2025-07-11 12:34:56
2025-07-12,192,83,2025-07-12 12:34:56
2025-07-13,193,85,2025-07-13 12:34:56
2025-07-14,194,87,2025-07-14 12:34:56
2025-07-15,195,89,2025-07-15 12:34:56
2025-07-16,196,91,2025-07-16 12:34:56
2025-07-17,197,93,2025-07-17 12:34:56
2025-07-18,198,95,2025-07-18 12:34:56
2025-07-19,199,97,2025-07-19 12:34:56
2025-07-20,200,99,2025-07-20 12:34:56
2025-07-21,1,101,2025-07-21 12:34:56
2025-07-22,2,103,2025-07-22 12:34:56
2025-07-23,3,105,2025-07-23 12:34:56
2025-07-24,4,107,2025-07-24 12:34:56
2025-07-25,5,109,2025-07-25 12:34:56
2025-07-26,6,111,2025-07-26 12:34:56
2025-07-27,7,113,2025-07-27 12:34:56
2025-07-28,8,115,2025-07-28 12:34:56
2025-07-29,9,117,2025-07-29 12:34:56
2025-07-30,10,119,2025-07-30 12:34:56
2025-07-01,11,121,2025-07-01 12:34:56
2025-07-02,12,123,2025-07-02 12:34:56
2025-07-03,13,125,2025-07-03 12:34:56
2025-07-04,14,127,2025-07-04 12:34:56
2025-07-05,15,129,2025-07-05 12:34:56
2025-07-06,16,131,2025-07-06 12:34:56
2025-07-07,17,133,2025-07-07 12:34:56
2025-07-08,18,135,2025-07-08 12:34:56
2025-07-09,19,137,2025-07-09 12:34:56
2025-07-10,20,139,2025-07-10 12:34:56
2025-07-11,21,141,2025-07-11 12:34:56
2025-07-12,22,143,2025-07-12 12:34:56
2025-07-13,23,145,2025-07-13 12:34:56
2025-07-14,24,147,2025-07-14 12:34:56
2025-07-15,25,149,2025-07-15 12:34:56
2025-07-16,26,151,2025-07-16 12:34:56
2025-07-17,27,153,2025-07-17 12:34:56
2025-07-18,28,155,2025-07-18 12:34:56
2025-07-19,29,157,2025-07-19 12:34:56
2025-07-20,30,159,2025-07-20 12:34:56
2025-07-21,31,161,2025-07-21 12:34:56
2025-07-22,32,163,2025-07-22 12:34:56
2025-07-23,33,165,2025-07-23 12:34:56
2025-07-24,34,167,2025-07-24 12:34:56
2025-07-25,35,169,2025-07-25 12:34:56
2025-07-26,36,171,2025-07-26 12:34:56
2025-07-27,37,173,2025-07-27 12:34:56
2025-07-28,38,175,2025-07-28 12:34:56
2025-07-29,39,177,2025-07-29 12:34:56
2025-07-30,40,179,2025-07-30 12:34:56
2025-07-01,41,181,2025-07-01 12:34:56
2025-07-02,42,183,2025-07-02 12:34:56
2025-07-03,43,185,2025-07-03 12:34:56
2025-07-04,44,187,2025-07-04 12:34:56
2025-07-05,45,189,2025-07-05 12:34:56
2025-07-06,46,191,2025-07-06 12:34:56
2025-07-07,47,193,2025-07-07 12:34:56
2025-07-08,48,195,2025-07-08 12:34:56
2025-07-09,49,197,2025-07-09 12:34:56
2025-07-10,50,199,2025-07-10 12:34:56
2025-07-11,51,201,2025-07-11 12:34:56
2025-07-12,52,203,2025-07-12 12:34:56
2025-07-13,53,205,2025-07-13 12:34:56
2025-07-14,54,207,2025-07-14 12:34:56
2025-07-15,55,209,2025-07-15 12:34:56
2025-07-16,56,211,2025-07-16 12:34:56
2025-07-17,57,213,2025-07-17 12:34:56
2025-07-18,58,215,2025-07-18 12:34:56
2025-07-19,59,217,2025-07-19 12:34:56
2025-07-20,60,219,2025-07-20 12:34:56
2025-07-21,61,221,2025-07-21 12:34:56
2025-07-22,62,223,2025-07-22 12:34:56
2025-07-23,63,225,2025-07-23 12:34:56
2025-07-24,64,227,2025-07-24 12:34:56
2025-07-25,65,229,2025-07-25 12:34:56
2025-07-26,66,231,2025-07-26 12:34:56
2025-07-27,67,233,2025-07-27 12:34:56
2025-07-28,68,235,2025-07-28 12:34:56
2025-07-29,69,237,2025-07-29 12:34:56
2025-07-30,70,239,2025-07-30 12:34:56
2025-07-01,71,241,2025-07-01 12:34:56
2025-07-02,72,243,2025-07-02 12:34:56
2025-07-03,73,245,2025-07-03 12:34:56
2025-07-04,74,247,2025-07-04 12:34:56
2025-07-05,75,249,2025-07-05 12:34:56
2025-07-06,76,251,2025-07-06 12:34:56
2025-07-07,77,253,2025-07-07 12:34:56
2025-07-08,78,255,2025-07-08 12:34:56
2025-07-09,79,257,2025-07-09 12:34:56
2025-07-10,80,259,2025-07-10 12:34:56
2025-07-11,81,261,2025-07-11 12:34:56
2025-07-12,82,263,2025-07-12 12:34:56
2025-07-13,83,265,2025-07-13 12:34:56
2025-07-14,84,267,2025-07-14 12:34:56
2025-07-15,85,269,2025-07-15 12:34:56
2025-07-16,86,271,2025-07-16 12:34:56
2025-07-17,87,273,2025-07-17 12:34:56
2025-07-18,88,275,2025-07-18 12:34:56
2025-07-19,89,277,2025-07-19 12:34:56
2025-07-20,90,279,2025-07-20 12:34:56
2025-07-21,91,281,2025-07-21 12:34:56
2025-07-22,92,283,2025-07-22 12:34:56
2025-07-23,93,285,2025-07-23 12:34:56
2025-07-24,94,287,2025-07-24 12:34:56
2025-07-25,95,289,2025-07-25 12:34:56
2025-07-26,96,291,2025-07-26 12:34:56
2025-07-27,97,293,2025-07-27 12:34:56
2025-07-28,98,295,2025-07-28 12:34:56
2025-07-29,99,297,2025-07-29 12:34:56
2025-07-30,100,299,2025-07-30 12:34:56
2025-07-01,101,1,2025-07-01 12:34:56
2025-07-02,102,3,2025-07-02 12:34:56
2025-07-03,103,5,2025-07-03 12:34:56
2025-07-04,104,7,2025-07-04 12:34:56
2025-07-05,105,9,2025-07-05 12:34:56
2025-07-06,106,11,2025-07-06 12:34:56
2025-07-07,107,13,2025-07-07 12:34:56
2025-07-08,108,15,2025-07-08 12:34:56
2025-07-09,109,17,2025-07-09 12:34:56
2025-07-10,110,19,2025-07-10 12:34:56
2025-07-11,111,21,2025-07-11 12:34:56
2025-07-12,112,23,2025-07-12 12:34:56
2025-07-13,113,25,2025-07-13 12:34:56
2025-07-14,114,27,2025-07-14 12:34:56
2025-07-15,115,29,2025-07-15 12:34:56
2025-07-16,116,31,2025-07-16 12:34:56
2025-07-17,117,33,2025-07-17 12:34:56
2025-07-18,118,35,2025-07-18 12:34:56
2025-07-19,119,37,2025-07-19 12:34:56
2025-07-20,120,39,2025-07-20 12:34:56
2025-07-21,121,41,2025-07-21 12:34:56
2025-07-22,122,43,2025-07-22 12:34:56
2025-07-23,123,45,2025-07-23 12:34:56
2025-07-24,124,47,2025-07-24 12:34:56
2025-07-25,125,49,2025-07-25 12:34:56
2025-07-26,126,51,2025-07-26 12:34:56
2025-07-27,127,53,2025-07-27 12:34:56
2025-07-28,128,55,2025-07-28 12:34:56
2025-07-29,129,57,2025-07-29 12:34:56
2025-07-30,130,59,2025-07-30 12:34:56
2025-07-01,131,61,2025-07-01 12:34:56
2025-07-02,132,63,2025-07-02 12:34:56
2025-07-03,133,65,2025-07-03 12:34:56
2025-07-04,134,67,2025-07-04 12:34:56
2025-07-05,135,69,2025-07-05 12:34:56
2025-07-06,136,71,2025-07-06 12:34:56
2025-07-07,137,73,2025-07-07 12:34:56
2025-07-08,138,75,2025-07-08 12:34:56
2025-07-09,139,77,2025-07-09 12:34:56
2025-07-10,140,79,2025-07-10 12:34:56
2025-07-11,141,81,2025-07-11 12:34:56
2025-07-12,142,83,2025-07-12 12:34:56
2025-07-13,143,85,2025-07-13 12:34:56
2025-07-14,144,87,2025-07-14 12:34:56
2025-07-15,145,89,2025-07-15 12:34:56
2025-07-16,146,91,2025-07-16 12:34:56
2025-07-17,147,93,2025-07-17 12:34:56
2025-07-18,148,95,2025-07-18 12:34:56
2025-07-19,149,97,2025-07-19 12:34:56
2025-07-20,150,99,2025-07-20 12:34:56
2025-07-21,151,101,2025-07-21 12:34:56
2025-07-22,152,103,2025-07-22 12:34:56
2025-07-23,153,105,2025-07-23 12:34:56
2025-07-24,154,107,2025-07-24 12:34:56
2025-07-25,155,109,2025-07-25 12:34:56
2025-07-26,156,111,2025-07-26 12:34:56
2025-07-27,157,113,2025-07-27 12:34:56
2025-07-28,158,115,2025-07-28 12:34:56
2025-07-29,159,117,2025-07-29 12:34:56
2025-07-30,160,119,2025-07-30 12:34:56
2025-07-01,161,121,2025-07-01 12:34:56
2025-07-02,162,123,2025-07-02 12:34:56
2025-07-03,163,125,2025-07-03 12:34:56
2025-07-04,164,127,2025-07-04 12:34:56
2025-07-05,165,129,2025-07-05 12:34:56
2025-07-06,166,131,2025-07-06 12:34:56
2025-07-07,167,133,2025-07-07 12:34:56
2025-07-08,168,135,2025-07-08 12:34:56
2025-07-09,169,137,2025-07-09 12:34:56
2025-07-10,170,139,2025-07-10 12:34:56
2025-07-11,171,141,2025-07-11 12:34:56
2025-07-12,172,143,2025-07-12 12:34:56
2025-07-13,173,145,2025-07-13 12:34:56
2025-07-14,174,147,2025-07-14 12:34:56
2025-07-15,175,149,2025-07-15 12:34:56
2025-07-16,176,151,2025-07-16 12:34:56
2025-07-17,177,153,2025-07-17 12:34:56
2025-07-18,178,155,2025-07-18 12:34:56
2025-07-19,179,157,2025-07-19 12:34:56
2025-07-20,180,159,2025-07-20 12:34:56
2025-07-21,181,161,2025-07-21 12:34:56
2025-07-22,182,163,2025-07-22 12:34:56
2025-07-23,183,165,2025-07-23 12:34:56
2025-07-24,184,167,2025-07-24 12:34:56
2025-07-25,185,169,2025-07-25 12:34:56
2025-07-26,186,171,2025-07-26 12:34:56
2025-07-27,187,173,2025-07-27 12:34:56
2025-07-28,188,175,2025-07-28 12:34:56
2025-07-29,189,177,2025-07-29 12:34:56
2025-07-30,190,179,2025-07-30 12:34:56
2025-07-01,191,181,2025-07-01 12:34:56
2025-07-02,192,183,2025-07-02 12:34:56
2025-07-03,193,185,2025-07-03 12:34:56
2025-07-04,194,187,2025-07-04 12:34:56
2025-07-05,195,189,2025-07-05 12:34:56
2025-07-06,196,191,2025-07-06 12:34:56
2025-07-07,197,193,2025-07-07 12:34:56
2025-07-08,198,195,2025-07-08 12:34:56
2025-07-09,199,197,2025-07-09 12:34:56
2025-07-10,200,199,2025-07-10 12:34:56
2025-07-11,1,201,2025-07-11 12:34:56
2025-07-12,2,203,2025-07-12 12:34:56
2025-07-13,3,205,2025-07-13 12:34:56
2025-07-14,4,207,2025-07-14 12:34:56
2025-07-15,5,209,2025-07-15 12:34:56
2025-07-16,6,211,2025-07-16 12:34:56
2025-07-17,7,213,2025-07-17 12:34:56
2025-07-18,8,215,2025-07-18 12:34:56
2025-07-19,9,217,2025-07-19 12:34:56
2025-07-20,10,219,2025-07-20 12:34:56
2025-07-21,11,221,2025-07-21 12:34:56
2025-07-22,12,223,2025-07-22 12:34:56
2025-07-23,13,225,2025-07-23 12:34:56
2025-07-24,14,227,2025-07-24 12:34:56
2025-07-25,15,229,2025-07-25 12:34:56
2025-07-26,16,231,2025-07-26 12:34:56
2025-07-27,17,233,2025-07-27 12:34:56
2025-07-28,18,235,2025-07-28 12:34:56
2025-07-29,19,237,2025-07-29 12:34:56
2025-07-30,20,239,2025-07-30 12:34:56
2025-07-01,21,241,2025-07-01 12:34:56
2025-07-02,22,243,2025-07-02 12:34:56
2025-07-03,23,245,2025-07-03 12:34:56
2025-07-04,24,247,2025-07-04 12:34:56
2025-07-05,25,249,2025-07-05 12:34:56
2025-07-06,26,251,2025-07-06 12:34:56
2025-07-07,27,253,2025-07-07 12:34:56
2025-07-08,28,255,2025-07-08 12:34:56
2025-07-09,29,257,2025-07-09 12:34:56
2025-07-10,30,259,2025-07-10 12:34:56
2025-07-11,31,261,2025-07-11 12:34:56
2025-07-12,32,263,2025-07-12 12:34:56
2025-07-13,33,265,2025-07-13 12:34:56
2025-07-14,34,267,2025-07-14 12:34:56
2025-07-15,35,269,2025-07-15 12:34:56
2025-07-16,36,271,2025-07-16 12:34:56
2025-07-17,37,273,2025-07-17 12:34:56
2025-07-18,38,275,2025-07-18 12:34:56
2025-07-19,39,277,2025-07-19 12:34:56
2025-07-20,40,279,2025-07-20 12:34:56
2025-07-21,41,281,2025-07-21 12:34:56
2025-07-22,42,283,2025-07-22 12:34:56
2025-07-23,43,285,2025-07-23 12:34:56
2025-07-24,44,287,2025-07-24 12:34:56
2025-07-25,45,289,2025-07-25 12:34:56
2025-07-26,46,291,2025-07-26 12:34:56
2025-07-27,47,293,2025-07-27 12:34:56
2025-07-28,48,295,2025-07-28 12:34:56
2025-07-29,49,297,2025-07-29 12:34:56
2025-07-30,50,299,2025-07-30 12:34:56
2025-07-01,51,1,2025-07-01 12:34:56
2025-07-02,52,3,2025-07-02 12:34:56
2025-07-03,53,5,2025-07-03 12:34:56
2025-07-04,54,7,2025-07-04 12:34:56
2025-07-05,55,9,2025-07-05 12:34:56
2025-07-06,56,11,2025-07-06 12:34:56
2025-07-07,57,13,2025-07-07 12:34:56
2025-07-08,58,15,2025-07-08 12:34:56
2025-07-09,59,17,2025-07-09 12:34:56
2025-07-10,60,19,2025-07-10 12:34:56
2025-07-11,61,21,2025-07-11 12:34:56
2025-07-12,62,23,2025-07-12 12:34:56
2025-07-13,63,25,2025-07-13 12:34:56
2025-07-14,64,27,2025-07-14 12:34:56
2025-07-15,65,29,2025-07-15 12:34:56
2025-07-16,66,31,2025-07-16 12:34:56
2025-07-17,67,33,2025-07-17 12:34:56
2025-07-18,68,35,2025-07-18 12:34:56
2025-07-19,69,37,2025-07-19 12:34:56
2025-07-20,70,39,2025-07-20 12:34:56
2025-07-21,71,41,2025-07-21 12:34:56
2025-07-22,72,43,2025-07-22 12:34:56
2025-07-23,73,45,2025-07-23 12:34:56
2025-07-24,74,47,2025-07-24 12:34:56
2025-07-25,75,49,2025-07-25 12:34:56
2025-07-26,76,51,2025-07-26 12:34:56
2025-07-27,77,53,2025-07-27 12:34:56
2025-07-28,78,55,2025-07-28 12:34:56
2025-07-29,79,57,2025-07-29 12:34:56
2025-07-30,80,59,2025-07-30 12:34:56
2025-07-01,81,61,2025-07-01 12:34:56
2025-07-02,82,63,2025-07-02 12:34:56
2025-07-03,83,65,2025-07-03 12:34:56
2025-07-04,84,67,2025-07-04 12:34:56
2025-07-05,85,69,2025-07-05 12:34:56
2025-07-06,86,71,2025-07-06 12:34:56
2025-07-07,87,73,2025-07-07 12:34:56
2025-07-08,88,75,2025-07-08 12:34:56
2025-07-09,89,77,2025-07-09 12:34:56
2025-07-10,90,79,2025-07-10 12:34:56
2025-07-11,91,81,2025-07-11 12:34:56
2025-07-12,92,83,2025-07-12 12:34:56
2025-07-13,93,85,2025-07-13 12:34:56
2025-07-14,94,87,2025-07-14 12:34:56
2025-07-15,95,89,2025-07-15 12:34:56
2025-07-16,96,91,2025-07-16 12:34:56
2025-07-17,97,93,2025-07-17 12:34:56
2025-07-18,98,95,2025-07-18 12:34:56
2025-07-19,99,97,2025-07-19 12:34:56
2025-07-20,100,99,2025-07-20 12:34:56
2025-07-21,101,101,2025-07-21 12:34:56
